place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated,food,service,atmosphere,to_be_removed
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Riley Broderson,en,en,5,2 weeks ago,nice authentic polish cuisine served staff attentive speak english almost options menu look sound tasty went pierogie mix zurek soup quite tasty fast service well definitely back recommend,1728758544,FAŁSZ,Positive,Positive,,
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Ricard Sierra,en,en,5,4 months ago,wonderful traditional place taste true polish specialties went pierogi cold beetroot soup roasted duck delicious waitress asia helpful super nice try go back going back home,1719588550,FAŁSZ,Positive,,Positive,
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Luke Pietrowski,en,en,5,a week ago,polish american hide happy tears away server friendly smells taste atmosphere made remember something not felt long long time poland always open soup,1729681828,FAŁSZ,Positive,Positive,Positive,
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Agata Palicka,en,en,2,5 months ago,mixed feelings place service less attentive expected bit disappointing tried polish chicken soup supposed cooked fresh daily seemed otherwise quite salty mushroom soup also tasted salty lacked flavor making less enjoyable however tatar quite nice duck although slightly overcooked decent drinks good positive note added enjoyment meal overall think place needs improvements enhance dining experience particularly terms service soup quality changes could become much better dining option,1715624310,FAŁSZ,,Negative,,
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,JUAN FERNANDEZ,en,en,5,in the last week,traditional zurek soup local polish beer matched heaven waiter friendly helpful beer recommendation hit great atmosphere recomendable,1729775704,FAŁSZ,Positive,Positive,Positive,
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Antonina Golovach,en,en,5,in the last week,cozy place good food amazing service food menu wide european cuisine mushroom cream soup truffle beef salad huge good staff amazing matteush amazing job attentive thank,1729956080,FAŁSZ,Positive,Positive,Positive,
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Maciej Polakowski,en,en,5,5 months ago,visited place friends good evening food tasty comes main course pizza burgers nice though not really like pistachio meringue dessert hand kinder bueno cake awesome portions service fine though since rather big restaurant waiting times bit high especially visible desserts mostly ready know also organize many types events parties first communion ending came,1715782853,FAŁSZ,Positive,Positive,Negative,
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Konrad Pawlak,en,en,5,2 months ago,food quality portions amazing especially pay considering location caesar salad basically meal size ask ordering ton cozy spot heart city nadiia fantastic waitress attentive thoughtful carried great conversation highly recommend eating,1723294185,FAŁSZ,Positive,Positive,Positive,
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Padmini Bhonsale,en,en,5,2 months ago,excellent food quality taste brilliant relaxed atmosphere definitely return,1724191912,FAŁSZ,Positive,,Positive,
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Cindy Smith,en,en,5,4 months ago,enjoyed lovely evening dining outside meat cheese plate excellent proved food could eat could easily feed four people ola server pleasant attentive,1717702856,FAŁSZ,Positive,Positive,Positive,
ChIJXX6SwozNHkcRIKwSid6g3-g,Freyda Hossain,en,en,4,3 months ago,order fresh fruits not give give cake took picture although never order not eat still paid okay maybe misunderstanding rice oily,1720212865,FAŁSZ,Negative,Negative,,
ChIJXX6SwozNHkcRIKwSid6g3-g,Md HISAM 2.0,en,en,5,4 months ago,place wonderful food good testy go restaurant decorations wow,1717541413,FAŁSZ,Positive,,Positive,
ChIJXX6SwozNHkcRIKwSid6g3-g,Europe Explorer,en,en,5,a year ago,food heaven must visit restaurant everyone living visiting warsaw team expert chef offers traditional uzbek pulaav sambosa full mince meat soups n salads amazing would love drink compote perfect huge space kind gatherings like birthday wedding separate rooms family interesting fresh halal,1694336731,FAŁSZ,Positive,Positive,Positive,
ChIJXX6SwozNHkcRIKwSid6g3-g,Bar?ş Kesik,en,en,5,4 months ago,delicious food perfect sweets recommend try bananachocolate dessert,1719749105,FAŁSZ,Positive,,,
ChIJXX6SwozNHkcRIKwSid6g3-g,Ali M m,en,en,5,a month ago,amazing food looking best halal food center best choice,1726402018,FAŁSZ,Positive,,,
ChIJ-0U6maHNHkcR1VM8EKMTa24,Lam Duong,en,en,5,2 months ago,definitely authentic vietnamese restaurant polandit almost everything find vietnam spent days poland got eat twice food good recommend mango salad b trn not photo good finished quickly lol nem chua rn tm trng mui mean everything good staff knows every details food gave us lot advices not know pick ps tr vi best drink everrrr,1722811551,FAŁSZ,Positive,Positive,Positive,
