place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated,food,service,atmosphere,to_be_removed
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Agata Palicka,en,en,2,5 months ago,mixed feelings place service less attentive expected bit disappointing tried polish chicken soup supposed cooked fresh daily seemed otherwise quite salty mushroom soup also tasted salty lacked flavor making less enjoyable however tatar quite nice duck although slightly overcooked decent drinks good positive note added enjoyment meal overall think place needs improvements enhance dining experience particularly terms service soup quality changes could become much better dining option,1715624310,FAŁSZ,,Negative,,
ChIJXX6SwozNHkcRIKwSid6g3-g,Freyda Hossain,en,en,4,3 months ago,order fresh fruits not give give cake took picture although never order not eat still paid okay maybe misunderstanding rice oily,1720212865,FAŁSZ,Negative,Negative,,
ChIJ-0U6maHNHkcR1VM8EKMTa24,Puja Kyryliuk,en,en,4,9 months ago,first time trying vietnamese food not waste time come food really delicious tastes asian hehe place not far hotel staff also friendly really like salted egg prawns beyond expectations rice also delicious really authentic asianjust tea ordered bit bitter okay place spacious comfortable good,1706728682,FAŁSZ,Positive,Positive,Positive,
ChIJ-0U6maHNHkcR1VM8EKMTa24,Alexander Lelebin,en,en,3,2 months ago,food okayish definitely need take care cleanliness much tables super dirty broken door toilet not allow privacy,1723826212,FAŁSZ,Negative,,Negative,
ChIJ3-Fh5WbMHkcRaurfiNBDOVE,--,en,en,2,3 months ago,tourist trap food extremely average especially price looks fancy chefs even tasting food chanterelles sweet basically inedible dishes bland ordinary duck good sauces strong overpowering overall food average overpriced would not recommend place very unhelpful hospitality poor quality,1720192257,FAŁSZ,Negative,Negative,Negative,
ChIJNx5NkYbMHkcR_RSufQAAqHs,Louise,en,en,4,2 months ago,fascinating place tonnes history awesome communist themed menu decor keeping vibe good food friendly service reasonable value salmon tasty good size apple pie dessert delicious,1722615194,FAŁSZ,Positive,Positive,Positive,
ChIJNx5NkYbMHkcR_RSufQAAqHs,Asgard,en,en,4,4 months ago,loved setting meals standard menu quite pricey get meal decent price lunch hours foreigner make sure ask lunch menu might not give automatically definitely back,1719429367,FAŁSZ,Positive,Positive,Positive,
ChIJc_XUnN0zGUcRO3vDfBlv6yA,parisha jindal,en,en,1,a month ago,worst experience ordered paneer tikka masala sent us butter chicken fish aure notbpqneer huge disappointment since vegetarians tried call restarant everytime call ended asking send sms response restaurant sure not going order,1727078642,FAŁSZ,Negative,Negative,Negative,
ChIJc_XUnN0zGUcRO3vDfBlv6yA,Ray B.,en,en,4,a month ago,really nice restaurant staff friendly food really good case not used spice level adjust recommend place especially hampton hilton meters go test,1726507770,FAŁSZ,Positive,Positive,,
ChIJb7MfUuLMHkcRepGaJjqmp0w,Tatiana Młynarska,en,en,2,5 months ago,mixed feelings disliked place long awaiting food drinks literally becoming crazy waiting anything ordered long even bread suggested usually many restaurants place bright white without anything special not catch cozy vibes finally first food served enjoy tomatoes mozzarella fishpotato pancakes good asparagus interesting totally disliked taste cauliflower soup chocolate bad improvising impossible eat main course pasta okay tbo wanted order schabowy first place told us meat finished okay super crazy unprepared not come night one hour closing whatever dish menu please serve plan products kitchen literally not get not respect attitude pasta acceptable desert eggnog frozen like dead ice could not eat outside big terrace beautiful view,1717020943,FAŁSZ,Negative,Positive,Negative,
ChIJb7MfUuLMHkcRepGaJjqmp0w,Adrian Brewin,en,en,4,a month ago,think place lovely view visited evening attentive staff enjoyed local food delicious lovely wine large vaulted hall,1727295167,FAŁSZ,Positive,Positive,Positive,
