place_id,name,opening_hours.weekday_text,permanently_closed,adr_address,url,geometry.location.lng,geometry.location.lat,plus_code.global_code,formatted_address,rating,wheelchair_accessible,user_ratings_total,price_level,address_components,vicinity,plus_code.compound_code,scope,website,business_status,types
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Specjały Regionalne,,,"<span class=""street-address"">Nowy Świat 44</span>, <span class=""postal-code"">00-363</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=6113946352226322128,,,,"Nowy Świat 44, 00-363 Warszawa, Poland",4.4,,3722,2,"[{'long_name': '44', 'short_name': '44', 'types': ['street_number']}, {'long_name': 'Nowy Świat', 'short_name': 'Nowy Świat', 'types': ['route']}, {'long_name': 'Śródmieście', 'short_name': 'Śródmieście', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-363', 'short_name': '00-363', 'types': ['postal_code']}]","Nowy Świat 44, Warszawa",,,http://www.polishcuisine.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ-c-5cWDMHkcRCv_vU46OhpU,InFormal Kitchen,,,"<span class=""street-address"">plac Stanisława Małachowskiego 2</span>, <span class=""postal-code"">00-066</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=10774455900475227914,,,,"plac Stanisława Małachowskiego 2, 00-066 Warszawa, Poland",4.7,,2083,2,"[{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'plac Stanisława Małachowskiego', 'short_name': 'plac Stanisława Małachowskiego', 'types': ['route']}, {'long_name': 'Śródmieście', 'short_name': 'Śródmieście', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-066', 'short_name': '00-066', 'types': ['postal_code']}]","plac Stanisława Małachowskiego 2, Warszawa",,,http://www.informalkitchen.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJXX6SwozNHkcRIKwSid6g3-g,Restauracja Sultan,,,"<span class=""street-address"">al. Jana Pawła II 52</span>/54, <span class=""postal-code"">00-150</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=16780307614248643616,,,,"al. Jana Pawła II 52/54, 00-150 Warszawa, Poland",4.4,,447,2,"[{'long_name': '54', 'short_name': '54', 'types': ['subpremise']}, {'long_name': '52', 'short_name': '52', 'types': ['street_number']}, {'long_name': 'aleja Jana Pawła II', 'short_name': 'al. Jana Pawła II', 'types': ['route']}, {'long_name': 'Śródmieście', 'short_name': 'Śródmieście', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-150', 'short_name': '00-150', 'types': ['postal_code']}]","aleja Jana Pawła II 52/54, Warszawa",,,https://instagram.com/sultan_restauracja?igshid=OGQ5ZDc2ODk2ZA==,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ-0U6maHNHkcR1VM8EKMTa24,BIN BIN - Asian Fusion Restaurant,,,"<span class=""street-address"">Twarda 42</span>, <span class=""postal-code"">00-824</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=7956474757753099221,,,,"Twarda 42, 00-824 Warszawa, Poland",4.6,,484,2,"[{'long_name': '42', 'short_name': '42', 'types': ['street_number']}, {'long_name': 'Twarda', 'short_name': 'Twarda', 'types': ['route']}, {'long_name': 'Wola', 'short_name': 'Wola', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-824', 'short_name': '00-824', 'types': ['postal_code']}]","Twarda 42, Warszawa",,,https://www.facebook.com/binbin.warsaw,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ3-Fh5WbMHkcRaurfiNBDOVE,Restauracja Delicja Polska,,,"<span class=""street-address"">Krakowskie Przedmieście 64</span>, <span class=""postal-code"">00-322</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=5852783753673304682,,,,"Krakowskie Przedmieście 64, 00-322 Warszawa, Poland",4.7,,1388,3,"[{'long_name': '64', 'short_name': '64', 'types': ['street_number']}, {'long_name': 'Krakowskie Przedmieście', 'short_name': 'Krakowskie Przedmieście', 'types': ['route']}, {'long_name': 'Śródmieście', 'short_name': 'Śródmieście', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-322', 'short_name': '00-322', 'types': ['postal_code']}]","Krakowskie Przedmieście 64, Warszawa",,,http://www.delicjapolska.pl/,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJRzsLkHzNHkcRYEC2dZxwXFY,Concept Food & Wine restauracja Praga Północ,,,"<span class=""street-address"">Plac Konesera 5</span>, <span class=""postal-code"">03-736</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=6222972602411270240,,,,"Plac Konesera 5, 03-736 Warszawa, Poland",4.6,,265,,"[{'long_name': '5', 'short_name': '5', 'types': ['street_number']}, {'long_name': 'Plac Konesera', 'short_name': 'Plac Konesera', 'types': ['route']}, {'long_name': 'Praga-Północ', 'short_name': 'Praga-Północ', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '03-736', 'short_name': '03-736', 'types': ['postal_code']}]","Plac Konesera 5, Warszawa",,,https://www.conceptfoodandwine.pl/,OPERATIONAL,"['restaurant', 'bar', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']"
ChIJNx5NkYbMHkcR_RSufQAAqHs,Czerwony Wieprz | restauracja polska Warszawa Śródmieście,,,"<span class=""street-address"">Żelazna 68</span>, <span class=""postal-code"">00-866</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=8910371864861086973,,,,"Żelazna 68, 00-866 Warszawa, Poland",4.4,,5764,2,"[{'long_name': '68', 'short_name': '68', 'types': ['street_number']}, {'long_name': 'Żelazna', 'short_name': 'Żelazna', 'types': ['route']}, {'long_name': 'Wola', 'short_name': 'Wola', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-866', 'short_name': '00-866', 'types': ['postal_code']}]","Żelazna 68, Warszawa",,,https://czerwonywieprz.pl/,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJc_XUnN0zGUcRO3vDfBlv6yA,Diyaa Indian and Thai Restaurant and Bar,,,"<span class=""street-address"">Wynalazek 2</span>/U10, <span class=""postal-code"">02-677</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=2372111783998749499,,,,"Wynalazek 2/U10, 02-677 Warszawa, Poland",4.7,,506,,"[{'long_name': 'U10', 'short_name': 'U10', 'types': ['subpremise']}, {'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Wynalazek', 'short_name': 'Wynalazek', 'types': ['route']}, {'long_name': 'Mokotów', 'short_name': 'Mokotów', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '02-677', 'short_name': '02-677', 'types': ['postal_code']}]","Wynalazek 2/U10, Warszawa",,,https://diyaa.com.pl/,OPERATIONAL,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']"
ChIJqS4vpdfNHkcR1UOVSox0tbs,Rest. Baczewskich,,,"<span class=""street-address"">aleja Jana Chrystiana Szucha 17</span>, <span class=""postal-code"">00-582</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=13525845201772692437,,,,"aleja Jana Chrystiana Szucha 17, 00-582 Warszawa, Poland",4.6,,1406,3,"[{'long_name': '17', 'short_name': '17', 'types': ['street_number']}, {'long_name': 'aleja Jana Chrystiana Szucha', 'short_name': 'aleja Jana Chrystiana Szucha', 'types': ['route']}, {'long_name': 'Śródmieście', 'short_name': 'Śródmieście', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-582', 'short_name': '00-582', 'types': ['postal_code']}]","aleja Jana Chrystiana Szucha 17, Warszawa",,,http://baczewskich.rest/,OPERATIONAL,"['restaurant', 'cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment']"
ChIJb7MfUuLMHkcRepGaJjqmp0w,Qchnia Artystyczna Restauracja,,,"<span class=""street-address"">Jazdów 2</span>, <span class=""postal-code"">00-467</span> <span class=""locality"">Warszawa</span>, <span class=""country-name"">Poland</span>",https://maps.google.com/?cid=5523566236679180666,,,,"Jazdów 2, 00-467 Warszawa, Poland",3.9,,852,3,"[{'long_name': '2', 'short_name': '2', 'types': ['street_number']}, {'long_name': 'Jazdów', 'short_name': 'Jazdów', 'types': ['route']}, {'long_name': 'Śródmieście', 'short_name': 'Śródmieście', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Warszawa', 'short_name': 'Warszawa', 'types': ['locality', 'political']}, {'long_name': 'Powiat Warszawa', 'short_name': 'Powiat Warszawa', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Województwo mazowieckie', 'short_name': 'Województwo mazowieckie', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Poland', 'short_name': 'PL', 'types': ['country', 'political']}, {'long_name': '00-467', 'short_name': '00-467', 'types': ['postal_code']}]","Jazdów 2, Warszawa",,,http://www.qchnia.pl/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']"
