place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated
ChIJoToG_fTMHkcRvnEOTBVeaVw,Gerald Tomyn,en,en,5,3 months ago,"This hotel is a welcome sight when staying in Warsaw. The rooms are big and comfortable. Rooms are air conditioned also. The shower is big and the water is hot. The breakfast is very good. Service is efficient.

One small complaint about the shower: there is no door, so the water gets out onto the floor of the bathroom. Also no shelf inside the shower itself so nowhere to put things.

Overall this is the best hotel I've stayed at in Poland.",1720940721,False
ChIJoToG_fTMHkcRvnEOTBVeaVw,Richard Wilson,en,en,5,a month ago,"I spent two nights here with my partner. The room that we were allocated was massive, with a separate living area, bedroom, bathroom/toilet, and another separate toilet. The beds were comfortable, and although there was no air-conditioning, the room temperature could be easily varied by opening the various windows in a slanted position.

Our room rate was very reasonable and included breakfast, which had a wide variety of cooked and cold dishes.

The hotel itself is well positioned in relation to public transport and the old town. I only had two minor niggles, the first being the shower, which sat over a bathtub with a curtain. It was impossible to stand up and shower because of the positioning of the head. Second, there was a large amount of roadwork activity outside, and the workmen started before 6 a.m.

Despite these niggles, I would still highly recommend this hotel for its value for money and location.",1727428127,False
ChIJoToG_fTMHkcRvnEOTBVeaVw,Tobias Stormly,en,en,2,2 months ago,"Good location.
They were shot ng a movie while we where there and there was road works which was annoying.
The toilets in the rooms are good, and the hotel bar is also good.
But the bedrooms are very old and needs renovation, also the elevator was slow and often congested due to the lack of there only being one.",1723203750,False
ChIJoToG_fTMHkcRvnEOTBVeaVw,Ovidiu Voicu,en,en,2,3 months ago,"The location is saving this place. Otherwise, it is just an old, tired hotel that needs urgent refurbishment.

I stayed for three nights, in a single room, on a business trip.

Everything was old: furniture, carpets, towels, sheets. The towels and sheets were clean, but the rooms and hallway were not so.

My windows were on the back side, towards the old and very noisy heating/cooling engine.

The bad was very small. Inevitably, the mattress was old and uncomfortable.

The breakfast was poor. Despite the relative variety, the products looked and felt like the cheapest option was selected.

I wouldn't stay here again.",1721938162,False
ChIJoToG_fTMHkcRvnEOTBVeaVw,Irina Bosin,en,en,4,3 months ago,"Certainly! Here's the updated review:

---

The hotel's location is excellent, and the rooms are spacious. However, there is an unmistakable smell of old age throughout the premises. The immigrant staff members are polite and accommodating, but the Polish staff are not. You will experience a lot of negativity if you don't speak Polish, even if you know four other languages. Also, make sure to bring your own shampoo and other toiletries, as they are not provided.",1719912944,False
ChIJYVASOCnNHkcR1ZVMyr7T68w,Nusynasy S,en,en,5,a month ago,Really great atmosphere and the food is amazing! Big portions and fantastic flavours. The decor was super and unexpected find on this quiet side road. Live music on the weekends!!,1726387152,False
ChIJYVASOCnNHkcR1ZVMyr7T68w,Nadine Trautmann,en,en,5,5 months ago,"Great atmosphere, large selection of dishes, super tasty food and very friendly staff. We'll be back on our next visit.",1716010819,False
ChIJYVASOCnNHkcR1ZVMyr7T68w,Janet S.,en,en,5,a month ago,"Fabulous atmosphere, even with live music, fantastic food and great service, definitely not our last time here.",1725330166,False
ChIJYVASOCnNHkcR1ZVMyr7T68w,Klaudia Ochman,en,en,5,6 months ago,"Tasty food, good place for some work small events, sometimes live music. The meals are amazing as well as starters",1712644137,False
ChIJYVASOCnNHkcR1ZVMyr7T68w,Marian,en,en,4,8 months ago,"The atmosphere was amazing with beautiful live music.

The Service very fast and the waiter very professional.

Prices are ok.

—

Anyway:

1. You don’t need to put ajvar and parslin in shopska lol - this is a crime in Serbia and Bosnia lol

2. You don’t need to put “batak” in the “mesano meso” - this is another crime lol",1708850960,False
ChIJUZnHkG_MHkcRp0_lW-_LJfA,Paweł,en,en,2,a week ago,We have ordered drinks for 4 people. One of us got everything after 3 minutes. The rest after 40 minutes. Later service was better but first impression was negative. Food was average. Restaurant more oriented on tourists- I suppose.  Some decoration really nice.,1729202630,False
ChIJUZnHkG_MHkcRp0_lW-_LJfA,Sagit Mis,en,en,5,2 months ago,"This was the first restaurant we visited in Warsaw and it was a great start, a lovely area, and a good atmosphere.
We were greeted by a waiter named Camille who did a great job, the dishes were excellent and the stay was lovely.
The dishes were excellent and the stay was lovely so we went back again for the last evening, and it's a shame we didn't ask for Camille again, this time we sat in a different area which is also special, we had another waiter who had difficulty with the language and in general, he was nice but less so, but still the dishes were all excellent.
Even the vegetarian among us and the girls had successful options.
Highly recommend - hope to return in the future",1723795239,False
ChIJUZnHkG_MHkcRp0_lW-_LJfA,Sandy Tataa,en,en,5,in the last week,The restaurant has a wonderful atmosphere and the waitress Maria who served us the best food has a smile on her face and she gave us the best service that you would imagine. The food was on time and tasty. I recommend this place where I would revisit.,1729882265,False
