place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated,food,service,atmosphere
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Riley Broderson,en,en,5,2 weeks ago,"Very nice and authentic polish cuisine served here. The staff are very attentive and speak English. Almost all the options on the menu look, and sound very tasty. I went with the pierogie mix and Zurek soup. All quite tasty and fast service as well. I’ll definitely be back and can recommend.",1728758544,False,Positive,Positive,None
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Ricard Sierra,en,en,5,4 months ago,"Wonderful traditional place to taste the true Polish specialties. We went for the pierogi, the cold beetroot soup and the roasted duck and they were all delicious! Our waitress Asia was helpful and super nice. We will try to go back again before going back home.",1719588550,False,Positive,None,Positive
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Luke Pietrowski,en,en,5,a week ago,"As a polish American, I had to hide my happy tears away from the server, who was very very friendly, because the smells, the taste, and the atmosphere made remember something that I haven't felt in a long long time. If you're in poland always open with a soup.",1729681828,False,Positive,Positive,Positive
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,Agata Palicka,en,en,2,5 months ago,"We had mixed feelings about this place. The service was less attentive than expected, which was a bit disappointing. We tried the Polish chicken soup, which was supposed to be cooked fresh daily, but it seemed otherwise and was quite salty. The mushroom soup also tasted very salty and lacked flavor, making it less enjoyable. However, the Tatar was quite nice, and the duck, although slightly overcooked, was decent. The drinks were good, which was a positive note and added some enjoyment to our meal. Overall, I think the place needs some improvements to enhance the dining experience, particularly in terms of service and soup quality. With some changes, it could become a much better dining option.",1715624310,False,None,Negative,None
ChIJG_KN3PXMHkcR0MY-dNAZ2VQ,JUAN FERNANDEZ,en,en,5,in the last week,I had a traditional Zurek soup with a local Polish beer. Those were matched in heaven. My waiter was very friendly and helpful and his beer recommendation was just a hit! Great atmosphere. 100% recomendable.,1729775704,False,Positive,Positive,Positive
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Antonina Golovach,en,en,5,in the last week,"Such a cozy place with good food and amazing service ❣️ food menu is wide, European cuisine. I had a mushroom cream soup with truffle 💔 and beef salad that was huge and good. Staff is amazing, Matteush did amazing job, was very attentive, thank you",1729956080,False,Positive,Positive,Positive
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Maciej Polakowski,en,en,5,5 months ago,"Visited this place with friends and it was a good evening. Food was tasty when it comes to the main course, both pizza and burgers were nice though we didn't really like the pistachio meringue for the dessert ( on the other hand kinder bueno cake was awesome). Portions and service were fine though since it's a rather big restaurant waiting times are a bit high, which are especially visible with desserts which they have mostly ready. I know they also organize many types of events (there were parties after the first communion ending when we came).",1715782853,False,Positive,Positive,Negative
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Konrad Pawlak,en,en,5,2 months ago,"The food quality and portions are amazing, especially what you pay for, considering the location. The caesar salad is basically a meal size, so ask before ordering a ton. A cozy spot in the heart of the city. Nadiia was a fantastic waitress, who was attentive, thoughtful, and carried a great conversation. I highly recommend eating here.",1723294185,False,Positive,Positive,Positive
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Padmini Bhonsale,en,en,5,2 months ago,"Excellent food, the quality and taste were brilliant. Relaxed atmosphere. Will definitely return!",1724191912,False,Positive,None,Positive
ChIJ-c-5cWDMHkcRCv_vU46OhpU,Cindy Smith,en,en,5,4 months ago,"We enjoyed a lovely evening dining outside. The meat and cheese plate was excellent and proved to be more food than we could eat. It could easily feed four people. Ola, our server was pleasant and attentive.",1717702856,False,Positive,Positive,Positive
